conjunto,versao,intervencao,campo,tipo,magnitude_maxima,linhas,mudancas,taxa_mudanca,ordens_abertas,ordens_canceladas,delta_proba_medio,delta_proba_maximo
teste,v1,temperatura_-0.4,temperatura_c,ruido_sensor,0.4000000000000057,4200,127,0.030238095238095238,0,127,0.02375213792063492,0.3684786333333332
teste,v1,temperatura_+0.4,temperatura_c,ruido_sensor,0.4000000000000057,4200,104,0.024761904761904763,104,0,0.019667693242063494,0.27157849999999983
teste,v1,permutacao,temp_media_6h,feature_isolada,,4200,780,0.18571428571428572,73,707,0.12175664176984129,0.5472209833333336
teste,v1,permutacao,temp_max_24h,feature_isolada,,4200,395,0.09404761904761905,45,350,0.06939950642460317,0.4673854499999996
teste,v1,permutacao,delta_temp_24h,feature_isolada,,4200,20,0.004761904761904762,1,19,0.010052186781746028,0.24586870000000002
teste,v1,permutacao,vib_media_6h,feature_isolada,,4200,24,0.005714285714285714,9,15,0.016578399095238092,0.11723006666666669
teste,v1,permutacao,vib_max_24h,feature_isolada,,4200,792,0.18857142857142858,76,716,0.12333251778571429,0.6256422333333334
teste,v1,permutacao,corrente_media_6h,feature_isolada,,4200,189,0.045,18,171,0.04878001491666666,0.31462590000000035
teste,v1,permutacao,pressao,feature_isolada,,4200,23,0.0054761904761904765,9,14,0.010292350964285714,0.1428417666666667
teste,v1,permutacao,rpm,feature_isolada,,4200,28,0.006666666666666667,8,20,0.01622049551984127,0.1470524666666666
teste,v1,permutacao,idade_equipamento_meses,feature_isolada,,4200,96,0.022857142857142857,43,53,0.04046952231349206,0.32033861666666674
teste,v1,permutacao,horas_operacao,feature_isolada,,4200,245,0.058333333333333334,80,165,0.062243520321428575,0.5560016333333333
teste,v1,permutacao,maquina_risco,feature_isolada,,4200,317,0.07547619047619047,141,176,0.06627940778174603,0.6468110833333329
teste,v1,permutacao,operador_senior,feature_isolada,,4200,109,0.025952380952380952,64,45,0.03921435330555553,0.3682669999999998
teste,v1,permutacao,turno,feature_isolada,,4200,2,0.0004761904761904762,0,2,0.0008068418571428575,0.0262101666666667
teste,v1,OP-01_para_OP-07,id_operador,contrafactual,,4200,351,0.08357142857142857,351,0,0.104084222797619,0.3808012166666664
teste,v1,1_para_3,turno,contrafactual,,4200,6,0.0014285714285714286,4,2,0.0017447829365079379,0.0262101666666667
teste,v2,temperatura_-0.4,temperatura_c,ruido_sensor,0.4000000000000057,4200,152,0.03619047619047619,30,122,0.02365323807738095,0.30609149999999974
teste,v2,temperatura_+0.4,temperatura_c,ruido_sensor,0.4000000000000057,4200,155,0.036904761904761905,133,22,0.022185332776785707,0.29359865
