conjunto,operador,linhas,falhas,prevalencia
teste,OP-01,297,21,0.0707070707070707
teste,OP-02,306,29,0.09477124183006536
teste,OP-03,269,20,0.07434944237918216
teste,OP-04,295,21,0.0711864406779661
teste,OP-05,286,28,0.0979020979020979
teste,OP-06,293,23,0.07849829351535836
teste,OP-07,1008,402,0.39880952380952384
teste,OP-08,267,24,0.0898876404494382
teste,OP-09,308,20,0.06493506493506493
teste,OP-10,297,22,0.07407407407407407
teste,OP-11,286,21,0.07342657342657342
teste,OP-12,288,24,0.08333333333333333
producao,OP-01,283,15,0.053003533568904596
producao,OP-02,282,16,0.05673758865248227
producao,OP-03,310,28,0.09032258064516129
producao,OP-04,303,21,0.06930693069306931
producao,OP-05,313,22,0.07028753993610223
producao,OP-06,260,17,0.06538461538461539
producao,OP-07,990,376,0.3797979797979798
producao,OP-08,258,19,0.07364341085271318
producao,OP-09,325,27,0.08307692307692308
producao,OP-10,302,24,0.07947019867549669
producao,OP-11,297,22,0.07407407407407407
producao,OP-12,277,12,0.04332129963898917
