inicio,fim,quantidade,probabilidade_media,frequencia_observada,conjunto,modo,versao
0.0,0.1,9952,0.034443582680198245,0.0,treino,rotulado,v1
0.1,0.2,1868,0.14269193081727333,0.0,treino,rotulado,v1
0.2,0.3,875,0.24379197041904757,0.0,treino,rotulado,v1
0.3,0.4,493,0.34559623887762003,0.008113590263691683,treino,rotulado,v1
0.4,0.5,342,0.4503525486842105,0.017543859649122806,treino,rotulado,v1
0.5,0.6,656,0.5517126776930895,0.11585365853658537,treino,rotulado,v1
0.6,0.7,540,0.6470497836111111,0.2796296296296296,treino,rotulado,v1
0.7,0.8,510,0.7452513708169933,0.5058823529411764,treino,rotulado,v1
0.8,0.9,602,0.8516666449612403,0.8073089700996677,treino,rotulado,v1
0.9,1.0,962,0.9422734828655578,0.9958419958419958,treino,rotulado,v1
0.0,0.1,13539,0.014392734407083222,0.0,treino,rotulado,v2
0.1,0.2,711,0.14103579265119548,0.0014064697609001407,treino,rotulado,v2
0.2,0.3,346,0.24191661166907513,0.02601156069364162,treino,rotulado,v2
0.3,0.4,209,0.3506874093899521,0.2822966507177033,treino,rotulado,v2
0.4,0.5,206,0.4506427633495145,0.6116504854368932,treino,rotulado,v2
0.5,0.6,250,0.5551904485,0.872,treino,rotulado,v2
0.6,0.7,281,0.653441718594306,0.9679715302491103,treino,rotulado,v2
0.7,0.8,380,0.7531846367763158,0.9894736842105263,treino,rotulado,v2
0.8,0.9,509,0.8519654634823183,1.0,treino,rotulado,v2
0.9,1.0,369,0.9356486141937671,1.0,treino,rotulado,v2
0.0,0.1,9952,0.034443582680198245,0.0,treino,sem_alvo,v1
0.1,0.2,1868,0.14269193081727333,0.0,treino,sem_alvo,v1
0.2,0.3,875,0.24379197041904757,0.0,treino,sem_alvo,v1
0.3,0.4,493,0.34559623887762003,0.008113590263691683,treino,sem_alvo,v1
0.4,0.5,342,0.4503525486842105,0.017543859649122806,treino,sem_alvo,v1
0.5,0.6,656,0.5517126776930895,0.11585365853658537,treino,sem_alvo,v1
0.6,0.7,540,0.6470497836111111,0.2796296296296296,treino,sem_alvo,v1
0.7,0.8,510,0.7452513708169933,0.5058823529411764,treino,sem_alvo,v1
0.8,0.9,602,0.8516666449612403,0.8073089700996677,treino,sem_alvo,v1
0.9,1.0,962,0.9422734828655578,0.9958419958419958,treino,sem_alvo,v1
0.0,0.1,13539,0.014392734407083222,0.0,treino,sem_alvo,v2
0.1,0.2,711,0.14103579265119548,0.0014064697609001407,treino,sem_alvo,v2
0.2,0.3,346,0.24191661166907513,0.02601156069364162,treino,sem_alvo,v2
0.3,0.4,209,0.3506874093899521,0.2822966507177033,treino,sem_alvo,v2
0.4,0.5,206,0.4506427633495145,0.6116504854368932,treino,sem_alvo,v2
0.5,0.6,250,0.5551904485,0.872,treino,sem_alvo,v2
0.6,0.7,281,0.653441718594306,0.9679715302491103,treino,sem_alvo,v2
0.7,0.8,380,0.7531846367763158,0.9894736842105263,treino,sem_alvo,v2
0.8,0.9,509,0.8519654634823183,1.0,treino,sem_alvo,v2
0.9,1.0,369,0.9356486141937671,1.0,treino,sem_alvo,v2
0.0,0.1,1977,0.03920718536503114,0.014668689934243804,teste,rotulado,v1
0.1,0.2,473,0.1449537003523608,0.004228329809725159,teste,rotulado,v1
0.2,0.3,299,0.25595279944258637,0.006688963210702341,teste,rotulado,v1
0.3,0.4,289,0.3409734873125721,0.0034602076124567475,teste,rotulado,v1
0.4,0.5,104,0.4451244875,0.038461538461538464,teste,rotulado,v1
0.5,0.6,114,0.5575446807017543,0.09649122807017543,teste,rotulado,v1
0.6,0.7,111,0.6419578690690692,0.1891891891891892,teste,rotulado,v1
0.7,0.8,183,0.7632427152094715,0.4972677595628415,teste,rotulado,v1
0.8,0.9,358,0.8445674762569833,0.6089385474860335,teste,rotulado,v1
0.9,1.0,292,0.9316303662671231,0.9452054794520548,teste,rotulado,v1
0.0,0.1,2449,0.019387395431808885,0.012249897917517355,teste,rotulado,v2
0.1,0.2,322,0.1440444162655279,0.024844720496894408,teste,rotulado,v2
0.2,0.3,244,0.2519009358606557,0.06147540983606557,teste,rotulado,v2
0.3,0.4,256,0.35092801513671873,0.08984375,teste,rotulado,v2
0.4,0.5,185,0.4399403771621621,0.24864864864864866,teste,rotulado,v2
0.5,0.6,80,0.5574702696875,0.65,teste,rotulado,v2
0.6,0.7,123,0.6503182088414633,0.6747967479674797,teste,rotulado,v2
0.7,0.8,246,0.7509821016260162,0.4878048780487805,teste,rotulado,v2
0.8,0.9,211,0.8448748486966825,0.919431279620853,teste,rotulado,v2
0.9,1.0,84,0.9365093730654761,1.0,teste,rotulado,v2
0.0,0.1,1780,0.03209521709737824,0.016853932584269662,teste,sem_alvo,v1
0.1,0.2,314,0.1434191764861995,0.009554140127388535,teste,sem_alvo,v1
0.2,0.3,225,0.24721132948148147,0.0,teste,sem_alvo,v1
0.3,0.4,160,0.3581810865624999,0.025,teste,sem_alvo,v1
0.4,0.5,162,0.4473481580246912,0.024691358024691357,teste,sem_alvo,v1
0.5,0.6,219,0.5576696264840182,0.2054794520547945,teste,sem_alvo,v1
0.6,0.7,394,0.6503750055837564,0.25888324873096447,teste,sem_alvo,v1
0.7,0.8,332,0.7572686519578312,0.3463855421686747,teste,sem_alvo,v1
0.8,0.9,367,0.8405267474568574,0.5231607629427792,teste,sem_alvo,v1
0.9,1.0,247,0.9304630395411604,0.6477732793522267,teste,sem_alvo,v1
0.0,0.1,2449,0.015397669120048984,0.013883217639853002,teste,sem_alvo,v2
0.1,0.2,283,0.14500549624558298,0.0636042402826855,teste,sem_alvo,v2
0.2,0.3,190,0.24672057125,0.18947368421052632,teste,sem_alvo,v2
0.3,0.4,177,0.34512811906779656,0.2598870056497175,teste,sem_alvo,v2
0.4,0.5,211,0.4591745273696682,0.3033175355450237,teste,sem_alvo,v2
0.5,0.6,220,0.5453814096022728,0.2863636363636364,teste,sem_alvo,v2
0.6,0.7,278,0.6485752013489208,0.3345323741007194,teste,sem_alvo,v2
