conjunto,modo,versao,brier,ece
treino,rotulado,v1,0.0517059983683682,0.10843412986408728
treino,rotulado,v2,0.016206353467750435,0.04599847798139879
treino,sem_alvo,v1,0.0517059983683682,0.10843412986408728
treino,sem_alvo,v2,0.016206353467750435,0.04599847798139879
teste,rotulado,v1,0.0863417961300104,0.13553566685714286
teste,rotulado,v2,0.06849406027411958,0.07161234732738092
teste,sem_alvo,v1,0.15233972737546944,0.1906317410396825
teste,sem_alvo,v2,0.09165164695002778,0.05755570054464283
producao,rotulado,v1,0.09345190265302489,0.14000542197222218
producao,rotulado,v2,0.08202696315568346,0.08229905909226191
producao,sem_alvo,v1,0.12588152217533863,0.16931961617063487
producao,sem_alvo,v2,0.08768166322325593,0.07170405890773808
