metrica,v1,v2,diferenca_v2_v1,ic_inferior,ic_superior,motores,repeticoes,semente,conjunto,modo
acuracia,0.9195833333333333,0.9857142857142858,0.06613095238095246,0.03773660714285714,0.10101488095238098,25,2000,42,treino,rotulado
precisao,0.5899082568807339,0.9748462828395752,0.3849380259588413,0.2852014512564727,0.47787051799451996,25,2000,42,treino,rotulado
recall,0.9948427024239299,0.8994326972666323,-0.09541000515729758,-0.14253198350781618,-0.05654874005100309,25,2000,42,treino,rotulado
f1,0.7406411979266654,0.9356223175965666,0.19498111966990117,0.12001375759325726,0.27324421293247,25,2000,42,treino,rotulado
acuracia,0.9195833333333333,0.9857142857142858,0.06613095238095246,0.03773660714285714,0.10101488095238098,25,2000,42,treino,sem_alvo
precisao,0.5899082568807339,0.9748462828395752,0.3849380259588413,0.2852014512564727,0.47787051799451996,25,2000,42,treino,sem_alvo
recall,0.9948427024239299,0.8994326972666323,-0.09541000515729758,-0.14253198350781618,-0.05654874005100309,25,2000,42,treino,sem_alvo
f1,0.7406411979266654,0.9356223175965666,0.19498111966990117,0.12001375759325726,0.27324421293247,25,2000,42,treino,sem_alvo
acuracia,0.8859523809523809,0.9207142857142857,0.03476190476190477,-0.011904761904761866,0.09952976190476191,25,2000,42,teste,rotulado
precisao,0.5831758034026465,0.7163978494623656,0.1332220460597191,0.0024977421313225365,0.3283330860355777,25,2000,42,teste,rotulado
recall,0.9419847328244275,0.8137404580152672,-0.12824427480916034,-0.24442398867186269,-0.03728956228956228,25,2000,42,teste,rotulado
f1,0.7203736135434909,0.7619728377412437,0.04159922419775275,-0.06814655724438497,0.17344841096256378,25,2000,42,teste,rotulado
acuracia,0.7652380952380953,0.8497619047619047,0.08452380952380945,-0.0026547619047619163,0.18097023809523802,25,2000,42,teste,sem_alvo
precisao,0.39384220654265556,0.5134831460674157,0.11964093952476018,-0.003239587735637031,0.31047129207023483,25,2000,42,teste,sem_alvo
recall,0.9374045801526718,0.6977099236641221,-0.2396946564885497,-0.40528190261715613,-0.09537562120487407,25,2000,42,teste,sem_alvo
f1,0.5546522131887985,0.5915857605177993,0.03693354732900078,-0.10119085845381437,0.17400872748071358,25,2000,42,teste,sem_alvo
acuracia,0.8580952380952381,0.8659523809523809,0.007857142857142785,-0.025000000000000022,0.03476785714285712,25,2000,42,producao,rotulado
precisao,0.5012809564474808,0.518595041322314,0.017314084874833213,-0.049886426663916454,0.08163016892461993,25,2000,42,producao,rotulado
recall,0.9799666110183639,0.8380634390651085,-0.1419031719532554,-0.3476699265018527,-0.007168074207393118,25,2000,42,producao,rotulado
f1,0.6632768361581921,0.6407147415443523,-0.022562094613839845,-0.13929137033425623,0.03144451879621241,25,2000,42,producao,rotulado
acuracia,0.8173809523809524,0.856904761904762,0.03952380952380952,-0.01595833333333343,0.1023988095238095,25,2000,42,producao,sem_alvo
precisao,0.43538461538461537,0.49892008639308855,0.06353547100847318,-0.026717892195454822,0.19090436958996007,25,2000,42,producao,sem_alvo
recall,0.9449081803005008,0.7712854757929883,-0.1736227045075125,-0.34404947916666667,-0.03239403497122632,25,2000,42,producao,sem_alvo
f1,0.5961032122169563,0.6059016393442623,0.009798427127306053,-0.11541769633323891,0.12329193610555778,25,2000,42,producao,sem_alvo
