conjunto,coluna,categoria,quantidade,proporcao
treino,id_operador,OP-07,3783,0.22517857142857142
treino,id_operador,OP-11,1211,0.07208333333333333
treino,id_operador,OP-10,1208,0.0719047619047619
treino,id_operador,OP-09,1206,0.07178571428571429
treino,id_operador,OP-05,1201,0.07148809523809524
treino,id_operador,OP-12,1193,0.07101190476190476
treino,id_operador,OP-08,1182,0.07035714285714285
treino,id_operador,OP-03,1179,0.07017857142857142
treino,id_operador,OP-06,1176,0.07
treino,id_operador,OP-04,1173,0.06982142857142858
treino,id_operador,OP-02,1151,0.06851190476190476
treino,id_operador,OP-01,1137,0.06767857142857144
treino,id_maquina,M01,672,0.04
treino,id_maquina,M02,672,0.04
treino,id_maquina,M03,672,0.04
treino,id_maquina,M04,672,0.04
treino,id_maquina,M05,672,0.04
treino,id_maquina,M06,672,0.04
treino,id_maquina,M07,672,0.04
treino,id_maquina,M08,672,0.04
treino,id_maquina,M09,672,0.04
treino,id_maquina,M10,672,0.04
treino,id_maquina,M11,672,0.04
treino,id_maquina,M12,672,0.04
treino,id_maquina,M13,672,0.04
treino,id_maquina,M14,672,0.04
treino,id_maquina,M15,672,0.04
treino,id_maquina,M16,672,0.04
treino,id_maquina,M17,672,0.04
treino,id_maquina,M18,672,0.04
treino,id_maquina,M19,672,0.04
treino,id_maquina,M20,672,0.04
treino,id_maquina,M21,672,0.04
treino,id_maquina,M22,672,0.04
treino,id_maquina,M23,672,0.04
treino,id_maquina,M24,672,0.04
treino,id_maquina,M25,672,0.04
treino,unidade_pressao,BAR,11424,0.68
treino,unidade_pressao,PSI,5376,0.32
treino,falha_72h,0,14861,0.8845833333333334
treino,falha_72h,1,1939,0.11541666666666667
teste,id_operador,OP-07,1008,0.24
teste,id_operador,OP-09,308,0.07333333333333333
teste,id_operador,OP-02,306,0.07285714285714286
teste,id_operador,OP-01,297,0.07071428571428572
teste,id_operador,OP-10,297,0.07071428571428572
teste,id_operador,OP-04,295,0.07023809523809524
teste,id_operador,OP-06,293,0.06976190476190476
teste,id_operador,OP-12,288,0.06857142857142857
teste,id_operador,OP-05,286,0.0680952380952381
teste,id_operador,OP-11,286,0.0680952380952381
teste,id_operador,OP-03,269,0.06404761904761905
teste,id_operador,OP-08,267,0.06357142857142857
teste,id_maquina,M01,168,0.04
teste,id_maquina,M02,168,0.04
teste,id_maquina,M03,168,0.04
teste,id_maquina,M04,168,0.04
teste,id_maquina,M05,168,0.04
teste,id_maquina,M06,168,0.04
teste,id_maquina,M07,168,0.04
teste,id_maquina,M08,168,0.04
teste,id_maquina,M09,168,0.04
teste,id_maquina,M10,168,0.04
teste,id_maquina,M11,168,0.04
teste,id_maquina,M12,168,0.04
teste,id_maquina,M13,168,0.04
teste,id_maquina,M14,168,0.04
teste,id_maquina,M15,168,0.04
teste,id_maquina,M16,168,0.04
teste,id_maquina,M17,168,0.04
teste,id_maquina,M18,168,0.04
teste,id_maquina,M19,168,0.04
teste,id_maquina,M20,168,0.04
teste,id_maquina,M21,168,0.04
teste,id_maquina,M22,168,0.04
teste,id_maquina,M23,168,0.04
teste,id_maquina,M24,168,0.04
teste,id_maquina,M25,168,0.04
teste,unidade_pressao,BAR,2856,0.68
teste,unidade_pressao,PSI,1344,0.32
teste,falha_72h,0,3545,0.844047619047619
teste,falha_72h,1,655,0.15595238095238095
producao,id_operador,OP-07,990,0.2357142857142857
producao,id_operador,OP-09,325,0.07738095238095238
producao,id_operador,OP-05,313,0.07452380952380952
producao,id_operador,OP-03,310,0.07380952380952381
producao,id_operador,OP-04,303,0.07214285714285715
producao,id_operador,OP-10,302,0.0719047619047619
producao,id_operador,OP-11,297,0.07071428571428572
producao,id_operador,OP-01,283,0.06738095238095237
producao,id_operador,OP-02,282,0.06714285714285714
producao,id_operador,OP-12,277,0.06595238095238096
producao,id_operador,OP-06,260,0.06190476190476191
producao,id_operador,OP-08,258,0.06142857142857143
producao,id_maquina,M01,168,0.04
producao,id_maquina,M02,168,0.04
producao,id_maquina,M03,168,0.04
producao,id_maquina,M04,168,0.04
producao,id_maquina,M05,168,0.04
producao,id_maquina,M06,168,0.04
producao,id_maquina,M07,168,0.04
producao,id_maquina,M08,168,0.04
producao,id_maquina,M09,168,0.04
producao,id_maquina,M10,168,0.04
producao,id_maquina,M11,168,0.04
producao,id_maquina,M12,168,0.04
producao,id_maquina,M13,168,0.04
producao,id_maquina,M14,168,0.04
producao,id_maquina,M15,168,0.04
producao,id_maquina,M16,168,0.04
producao,id_maquina,M17,168,0.04
producao,id_maquina,M18,168,0.04
producao,id_maquina,M19,168,0.04
producao,id_maquina,M20,168,0.04
producao,id_maquina,M21,168,0.04
producao,id_maquina,M22,168,0.04
producao,id_maquina,M23,168,0.04
producao,id_maquina,M24,168,0.04
producao,id_maquina,M25,168,0.04
producao,unidade_pressao,BAR,2856,0.68
producao,unidade_pressao,PSI,1344,0.32
producao,falha_72h,0,3601,0.8573809523809524
producao,falha_72h,1,599,0.14261904761904762
