conjunto,modo,versao,linhas_brutas,linhas_validas,prevalencia,acuracia_trivial,vp,vn,fp,fn,acuracia,precisao,recall,f1
treino,rotulado,v1,16800,16800,0.11541666666666667,0.8845833333333334,1929,13520,1341,10,0.9195833333333333,0.5899082568807339,0.9948427024239299,0.7406411979266654
treino,rotulado,v2,16800,16800,0.11541666666666667,0.8845833333333334,1744,14816,45,195,0.9857142857142858,0.9748462828395752,0.8994326972666323,0.9356223175965666
treino,sem_alvo,v1,16800,16800,0.11541666666666667,0.8845833333333334,1929,13520,1341,10,0.9195833333333333,0.5899082568807339,0.9948427024239299,0.7406411979266654
treino,sem_alvo,v2,16800,16800,0.11541666666666667,0.8845833333333334,1744,14816,45,195,0.9857142857142858,0.9748462828395752,0.8994326972666323,0.9356223175965666
teste,rotulado,v1,4200,4200,0.15595238095238095,0.844047619047619,617,3104,441,38,0.8859523809523809,0.5831758034026465,0.9419847328244275,0.7203736135434909
teste,rotulado,v2,4200,4200,0.15595238095238095,0.844047619047619,533,3334,211,122,0.9207142857142857,0.7163978494623656,0.8137404580152672,0.7619728377412438
teste,sem_alvo,v1,4200,4200,0.15595238095238095,0.844047619047619,614,2600,945,41,0.7652380952380953,0.39384220654265556,0.9374045801526718,0.5546522131887986
teste,sem_alvo,v2,4200,4200,0.15595238095238095,0.844047619047619,457,3112,433,198,0.8497619047619047,0.5134831460674157,0.6977099236641221,0.5915857605177993
producao,rotulado,v1,4200,4200,0.14261904761904762,0.8573809523809524,587,3017,584,12,0.8580952380952381,0.5012809564474808,0.9799666110183639,0.6632768361581921
producao,rotulado,v2,4200,4200,0.14261904761904762,0.8573809523809524,502,3135,466,97,0.8659523809523809,0.518595041322314,0.8380634390651085,0.6407147415443523
producao,sem_alvo,v1,4200,4200,0.14261904761904762,0.8573809523809524,566,2867,734,33,0.8173809523809524,0.43538461538461537,0.9449081803005008,0.5961032122169562
producao,sem_alvo,v2,4200,4200,0.14261904761904762,0.8573809523809524,462,3137,464,137,0.856904761904762,0.49892008639308855,0.7712854757929883,0.6059016393442623
