conjunto,versao,intervencao,id_maquina,timestamp,probabilidade_original,probabilidade_alterada
teste,v1,temperatura_-0.4,M20,2026-06-01 00:00:00,0.5218627666666668,0.4922599166666667
teste,v1,temperatura_-0.4,M11,2026-06-01 08:00:00,0.5634888166666667,0.46604881666666664
teste,v1,temperatura_-0.4,M23,2026-06-01 08:00:00,0.5406827499999998,0.4086847333333333
teste,v1,temperatura_-0.4,M11,2026-06-01 09:00:00,0.5303008833333333,0.45292125
teste,v1,temperatura_-0.4,M11,2026-06-01 10:00:00,0.5667862333333334,0.44610935
teste,v1,temperatura_-0.4,M03,2026-06-01 23:00:00,0.5477090333333334,0.47220550000000006
teste,v1,temperatura_-0.4,M25,2026-06-02 02:00:00,0.54587285,0.45674556666666655
teste,v1,temperatura_-0.4,M03,2026-06-02 03:00:00,0.5153698333333332,0.47288978333333326
teste,v1,temperatura_-0.4,M03,2026-06-02 04:00:00,0.5179705833333333,0.46550281666666654
teste,v1,temperatura_-0.4,M25,2026-06-02 05:00:00,0.5402740333333333,0.4483831833333333
teste,v1,temperatura_-0.4,M25,2026-06-02 06:00:00,0.6579623833333332,0.47352403333333337
teste,v1,temperatura_-0.4,M25,2026-06-02 07:00:00,0.6548341666666667,0.3828385833333333
teste,v1,temperatura_-0.4,M03,2026-06-02 08:00:00,0.5532483499999999,0.4989086833333332
teste,v1,temperatura_-0.4,M25,2026-06-02 08:00:00,0.6276627333333332,0.3596126666666667
teste,v1,temperatura_-0.4,M11,2026-06-02 10:00:00,0.5354257833333332,0.47101588333333333
teste,v1,temperatura_-0.4,M23,2026-06-02 10:00:00,0.5283773833333334,0.49365
teste,v1,temperatura_-0.4,M25,2026-06-02 10:00:00,0.6371619,0.39291581666666675
teste,v1,temperatura_-0.4,M25,2026-06-02 11:00:00,0.67493235,0.46751425
teste,v1,temperatura_-0.4,M08,2026-06-02 12:00:00,0.5494354000000001,0.4348987833333332
teste,v1,temperatura_-0.4,M25,2026-06-02 12:00:00,0.6685451666666665,0.4441730666666668
teste,v1,temperatura_-0.4,M08,2026-06-02 14:00:00,0.5663183833333335,0.45279054999999985
teste,v1,temperatura_-0.4,M25,2026-06-02 14:00:00,0.6776894666666664,0.4589873833333334
teste,v1,temperatura_-0.4,M08,2026-06-02 15:00:00,0.5011092166666667,0.3812146166666666
teste,v1,temperatura_-0.4,M25,2026-06-02 15:00:00,0.6665424999999999,0.46643916666666674
teste,v1,temperatura_-0.4,M08,2026-06-02 16:00:00,0.5069469166666666,0.34455029999999987
teste,v1,temperatura_-0.4,M23,2026-06-02 16:00:00,0.5490705166666667,0.4878149666666666
teste,v1,temperatura_-0.4,M25,2026-06-02 16:00:00,0.6177111666666666,0.31309526666666676
teste,v1,temperatura_-0.4,M03,2026-06-02 17:00:00,0.5353174333333333,0.28374228333333334
teste,v1,temperatura_-0.4,M23,2026-06-02 17:00:00,0.5235077833333333,0.4779737166666666
teste,v1,temperatura_-0.4,M25,2026-06-02 17:00:00,0.7520701999999999,0.4495434499999999
teste,v1,temperatura_-0.4,M25,2026-06-02 18:00:00,0.6140027666666665,0.3317262
teste,v1,temperatura_-0.4,M25,2026-06-02 20:00:00,0.5675022,0.28242411666666667
teste,v1,temperatura_-0.4,M03,2026-06-02 21:00:00,0.5460123166666667,0.34979068333333324
teste,v1,temperatura_-0.4,M25,2026-06-02 21:00:00,0.7658807499999998,0.49076923333333333
teste,v1,temperatura_-0.4,M03,2026-06-02 22:00:00,0.6250956333333332,0.4947691
teste,v1,temperatura_-0.4,M10,2026-06-02 22:00:00,0.5308964333333333,0.4408987166666665
teste,v1,temperatura_-0.4,M25,2026-06-02 22:00:00,0.6413410833333333,0.3609179833333334
teste,v1,temperatura_-0.4,M10,2026-06-02 23:00:00,0.5127461833333332,0.422329
teste,v1,temperatura_-0.4,M03,2026-06-03 00:00:00,0.5357909000000001,0.33271164999999997
teste,v1,temperatura_-0.4,M10,2026-06-03 00:00:00,0.5156739833333333,0.4252568
teste,v1,temperatura_-0.4,M03,2026-06-03 01:00:00,0.6012420499999999,0.4885711333333334
teste,v1,temperatura_-0.4,M10,2026-06-03 01:00:00,0.5369727666666666,0.4419245833333333
teste,v1,temperatura_-0.4,M03,2026-06-03 02:00:00,0.5225655,0.37156218333333335
teste,v1,temperatura_-0.4,M25,2026-06-03 02:00:00,0.6042525166666665,0.3544932333333334
teste,v1,temperatura_-0.4,M03,2026-06-03 03:00:00,0.5654288833333333,0.3880961833333334
teste,v1,temperatura_-0.4,M25,2026-06-03 03:00:00,0.6025723333333333,0.27764938333333333
teste,v1,temperatura_-0.4,M03,2026-06-03 04:00:00,0.5420790166666668,0.3002753833333333
teste,v1,temperatura_-0.4,M25,2026-06-03 04:00:00,0.6384127166666665,0.4345298
teste,v1,temperatura_-0.4,M03,2026-06-03 07:00:00,0.5633263999999999,0.4362830666666667
teste,v1,temperatura_-0.4,M03,2026-06-03 09:00:00,0.5867425999999999,0.49202568333333346
teste,v1,temperatura_-0.4,M10,2026-06-03 09:00:00,0.51691425,0.48022390000000004
teste,v1,temperatura_-0.4,M10,2026-06-03 11:00:00,0.5816761999999999,0.49786340000000007
teste,v1,temperatura_-0.4,M10,2026-06-03 12:00:00,0.5710936999999998,0.49417068333333325
teste,v1,temperatura_-0.4,M10,2026-06-03 17:00:00,0.5118844666666666,0.44814938333333326
teste,v1,temperatura_-0.4,M10,2026-06-04 02:00:00,0.5309550333333334,0.4959359
teste,v1,temperatura_-0.4,M10,2026-06-04 03:00:00,0.5391222,0.4911114833333334
teste,v1,temperatura_-0.4,M10,2026-06-04 11:00:00,0.5476700666666667,0.48500380000000004
teste,v1,temperatura_-0.4,M19,2026-06-04 13:00:00,0.6379240333333331,0.3580631166666666
