id_maquina,timestamp,falha_72h,probabilidade_v1,predicao_v1,probabilidade_v2,predicao_v2
M01,2026-06-01 00:00:00,1,0.2761094333333333,0,0.343638825,0
M02,2026-06-01 00:00:00,0,0.012728999999999999,0,0.0066213999999999995,0
M03,2026-06-01 00:00:00,0,0.05242284999999999,0,0.0234614375,0
M04,2026-06-01 00:00:00,1,0.9610150000000001,1,0.8845563375,1
M05,2026-06-01 00:00:00,0,0.02671416666666666,0,0.0062334999999999995,0
M06,2026-06-01 00:00:00,0,0.34027166666666664,0,0.21618943750000003,0
M07,2026-06-01 00:00:00,1,0.6602484000000002,1,0.4012051125,0
M08,2026-06-01 00:00:00,0,0.5651694500000001,1,0.2666132874999999,0
M09,2026-06-01 00:00:00,0,0.0057125,0,0.0008274625000000001,0
M10,2026-06-01 00:00:00,0,0.09537226666666668,0,0.05909333750000001,0
M11,2026-06-01 00:00:00,0,0.7105438833333332,1,0.48718459999999997,0
M12,2026-06-01 00:00:00,0,0.40811749999999997,0,0.4795364125,0
M13,2026-06-01 00:00:00,0,0.026120483333333333,0,0.003137375,0
M14,2026-06-01 00:00:00,0,0.0008424,0,0.0,0
M15,2026-06-01 00:00:00,0,0.0302611,0,0.006325687500000001,0
M16,2026-06-01 00:00:00,1,0.29737304999999997,0,0.22486285,0
M17,2026-06-01 00:00:00,0,0.5573897999999998,1,0.2852671750000001,0
M18,2026-06-01 00:00:00,0,0.06109266666666666,0,0.021645000000000005,0
M19,2026-06-01 00:00:00,0,0.02735238333333333,0,0.009698324999999997,0
M20,2026-06-01 00:00:00,1,0.5866961166666668,1,0.40788989999999997,0
M21,2026-06-01 00:00:00,0,0.06322966666666666,0,0.07713393749999999,0
M22,2026-06-01 00:00:00,0,0.01896335,0,0.0025050625,0
M23,2026-06-01 00:00:00,0,0.07203778333333334,0,0.04865024999999999,0
M24,2026-06-01 00:00:00,1,0.8106422499999997,1,0.6031363750000001,1
M25,2026-06-01 00:00:00,0,0.10316981666666665,0,0.13481279999999995,0
M01,2026-06-01 01:00:00,1,0.3526240166666666,0,0.4092995000000001,0
M02,2026-06-01 01:00:00,0,0.05850698333333334,0,0.001109425,0
M03,2026-06-01 01:00:00,0,0.06168861666666666,0,0.031084974999999997,0
M04,2026-06-01 01:00:00,1,0.9299237833333334,1,0.7977126624999998,1
M05,2026-06-01 01:00:00,0,0.05299149999999999,0,0.0081170625,0
M06,2026-06-01 01:00:00,0,0.18438583333333333,0,0.17000065000000003,0
M07,2026-06-01 01:00:00,1,0.6587838333333337,1,0.39851635,0
M08,2026-06-01 01:00:00,0,0.5562482333333334,1,0.23119881249999996,0
M09,2026-06-01 01:00:00,0,0.0008424,0,0.0,0
M10,2026-06-01 01:00:00,0,0.22694569999999997,0,0.061052974999999995,0
M11,2026-06-01 01:00:00,0,0.9006666666666665,1,0.6898133375000002,1
M12,2026-06-01 01:00:00,0,0.76953705,1,0.6271142875,1
M13,2026-06-01 01:00:00,0,0.018735633333333335,0,0.00175475,0
M14,2026-06-01 01:00:00,0,0.0008424,0,0.0,0
M15,2026-06-01 01:00:00,0,0.04412156666666666,0,0.0065915374999999995,0
