limiar,vp,vn,fp,fn,acuracia,precisao,recall,f1,conjunto,modo,versao
0.0,1939,0,14861,0,0.11541666666666667,0.11541666666666667,1.0,0.20694807620470676,treino,rotulado,v1
0.01,1939,2247,12614,0,0.24916666666666668,0.13323713323713324,1.0,0.23514431239388794,treino,rotulado,v1
0.02,1939,3548,11313,0,0.3266071428571429,0.14631753697555086,1.0,0.2552827331972879,treino,rotulado,v1
0.03,1939,5124,9737,0,0.42041666666666666,0.16606714628297362,1.0,0.2848329048843188,treino,rotulado,v1
0.04,1939,6285,8576,0,0.4895238095238095,0.1844032334759867,1.0,0.3113859001124137,treino,rotulado,v1
0.05,1939,7171,7690,0,0.5422619047619047,0.20137085886384878,1.0,0.3352351313969571,treino,rotulado,v1
0.06,1939,7973,6888,0,0.59,0.2196669310071372,1.0,0.3602080624187256,treino,rotulado,v1
0.07,1939,8643,6218,0,0.6298809523809524,0.23770994238077725,1.0,0.3841125198098257,treino,rotulado,v1
0.08,1939,9189,5672,0,0.6623809523809524,0.25476284325318616,1.0,0.4060732984293194,treino,rotulado,v1
0.09,1939,9616,5245,0,0.687797619047619,0.26990534521158127,1.0,0.42507946947276115,treino,rotulado,v1
0.1,1939,9952,4909,0,0.7077976190476191,0.2831483644859813,1.0,0.4413337885512689,treino,rotulado,v1
0.11,1939,10226,4635,0,0.7241071428571428,0.29494980225129297,1.0,0.4555385880418184,treino,rotulado,v1
0.12,1939,10476,4385,0,0.7389880952380953,0.3066097406704617,1.0,0.4693210698293598,treino,rotulado,v1
0.13,1939,10684,4177,0,0.7513690476190477,0.3170372792674951,1.0,0.4814400993171943,treino,rotulado,v1
0.14,1939,10907,3954,0,0.7646428571428572,0.3290344476497539,1.0,0.4951481103166496,treino,rotulado,v1
0.15,1939,11078,3783,0,0.7748214285714285,0.3388675288360713,1.0,0.506200234956272,treino,rotulado,v1
0.16,1939,11259,3602,0,0.7855952380952381,0.3499368345064068,1.0,0.5184491978609626,treino,rotulado,v1
0.17,1939,11414,3447,0,0.7948214285714286,0.36000742666171553,1.0,0.529419795221843,treino,rotulado,v1
0.18,1939,11572,3289,0,0.8042261904761905,0.3708875286916603,1.0,0.5410911120413004,treino,rotulado,v1
0.19,1939,11693,3168,0,0.8114285714285714,0.3796749559428236,1.0,0.5503831961396537,treino,rotulado,v1
0.2,1939,11820,3041,0,0.8189880952380952,0.3893574297188755,1.0,0.5604856193091488,treino,rotulado,v1
0.21,1939,11936,2925,0,0.8258928571428571,0.39864309210526316,1.0,0.5700426282522416,treino,rotulado,v1
0.22,1939,12042,2819,0,0.832202380952381,0.40752416981925177,1.0,0.5790652530984023,treino,rotulado,v1
0.23,1939,12161,2700,0,0.8392857142857143,0.41797801250269456,1.0,0.58954089388872,treino,rotulado,v1
0.24,1939,12260,2601,0,0.8451785714285714,0.4270925110132159,1.0,0.5985491588208057,treino,rotulado,v1
0.25,1939,12346,2515,0,0.850297619047619,0.4353390211046251,1.0,0.6066009698107305,treino,rotulado,v1
0.26,1939,12424,2437,0,0.8549404761904762,0.4430987202925046,1.0,0.6140934283452099,treino,rotulado,v1
0.27,1939,12498,2363,0,0.8593452380952381,0.4507205950720595,1.0,0.6213747796827431,treino,rotulado,v1
0.28,1939,12567,2294,0,0.863452380952381,0.4580675643751477,1.0,0.6283214517174336,treino,rotulado,v1
0.29,1939,12623,2238,0,0.8667857142857143,0.4642087622695715,1.0,0.6340745585349902,treino,rotulado,v1
0.3,1939,12695,2166,0,0.8710714285714286,0.4723507917174178,1.0,0.6416280608868299,treino,rotulado,v1
0.31,1939,12759,2102,0,0.8748809523809524,0.47983172482058895,1.0,0.6484949832775919,treino,rotulado,v1
0.32,1939,12819,2042,0,0.878452380952381,0.4870635518713891,1.0,0.6550675675675676,treino,rotulado,v1
